Charter number,Year and quarter,Year,Quarter ,Credit Union name,Street  (Mailing address),City  (Mailing address),State (Mailing address),Zip code (Mailing address),Credit Union type,NCUA region,Low-income designation,Members,Total assets,Total loans,Total deposits,Return on average assets,Net worth ratio (excludes CECL transition provision),Loan-to-share ratio,"Total deposits, 4 quarter growth  (%)","Total loans,  4 quarter growth  (%)","Total assets,  4 quarter growth  (%)","Members, 4 quarter growth  (%)","Net worth,  4 quarter growth (excludes CECL transition provision) (%)",NCUA internal ID (join_number)
1,2024.1,2024,1,MORRIS SHEPPARD TEXARKANA,419 W 4TH ST,TEXARKANA,TX,75501,FCU,2,Yes,1276,11182372,8953804,9856392,1.08,11.83,90.84,-9.08,-2.64,-7.24,-0.55,9.81,2
6,2024.1,2024,1,THE NEW ORLEANS FIREMEN'S,P O Box 689,Metairie,LA,70004,FCU,2,Yes,28945,275381898,194154396,241409795,0.16,10.95,80.43,11.64,7.33,11.78,0.41,5.56,7
12,2024.1,2024,1,FRANKLIN TRUST,624 Franklin Ave,Hartford,CT,06114,FCU,1,Yes,9133,61526262,27050615,56663797,-0.35,9.54,47.74,-2.55,2.44,-1.28,-0.45,1.6,11
13,2024.1,2024,1,EFCU FINANCIAL,10719 AIRLINE HWY,BATON ROUGE,LA,70816,FCU,2,Yes,65941,1058083728,933368458,919926247,0.79,9.56,101.46,11.56,14.09,12.64,6.58,10.88,12
16,2024.1,2024,1,WOODMEN,1700 FARNAM ST STE 1000,OMAHA,NE,68102,FCU,3,No,900,9656630,3901475,8380331,0.23,13.2,46.56,-6.27,23.99,-5.38,-3.12,2.2,14
19,2024.1,2024,1,NEW HAVEN TEACHERS,90 Hamilton St,New Haven,CT,06511,FCU,1,No,1112,10351728,1449703,7408088,1.17,28.42,19.57,-2.96,-6.64,-1.1,-3.39,4.0,16
22,2024.1,2024,1,WATERBURY CONNECTICUT TEACHERS,P.O. BOX 2121,WATERBURY,CT,06722,FCU,1,No,21648,324005537,247081190,272480946,1.63,15.33,90.68,2.43,1.09,3.93,4.15,10.6,17
26,2024.1,2024,1,FARMERS,6611 DUNN AVE,JACKSONVILLE,FL,32218,FCU,2,Yes,1203,21211275,6419560,18693821,0.5,9.89,34.34,-2.93,11.19,-0.5,-3.37,5.23,19
28,2024.1,2024,1,CENTRIS,13120 Pierce St,Omaha,NE,68144,FCU,3,No,132657,1314698031,1114200001,1122520403,0.38,8.75,99.26,17.04,11.53,9.38,6.26,4.42,21
42,2024.1,2024,1,FD COMMUNITY,601 Watertown Ave,Waterbury,CT,06708,FCU,1,Yes,14404,144788397,81841620,128085117,1.35,10.51,63.9,-3.76,4.72,-1.8,-3.66,11.44,29
47,2024.1,2024,1,FARGO PUBLIC SCHOOLS,1609 32nd Ave S,Fargo,ND,58103,FCU,3,Yes,2340,56664070,23567764,49685773,1.15,11.68,47.43,3.66,4.0,3.77,-1.22,5.18,30
48,2024.1,2024,1,EAGLE EXPRESS,P O BOX 567,JACKSON,MS,39205,FCU,2,Yes,4099,65236133,21998800,52599255,0.27,20.43,41.82,-0.8,0.3,-0.42,-0.41,-0.85,31
